,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis",Nominated for 1 Oscar. Another 4 wins & 19 nominations.,"$132,500,000.00","USA, Malta, UK",04 Jan 2005,Wolfgang Petersen,Adventure,English,56,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,14 May 2004,True,163 min,Troy,movie,http://troymovie.warnerbros.com/index_flash.html,"Homer (poem), David Benioff (screenplay)",2004,tt0332452,7.2,"396,672",rotten,223
1,"Jim Carrey, Liam Aiken, Emily Browning, Kara Hoffman",Won 1 Oscar. Another 9 wins & 25 nominations.,"$118,461,298.00","USA, Germany",26 Apr 2005,Brad Silberling,"Adventure, Comedy, Family",English,62,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3MDM4NTg0NV5BMl5BanBnXkFtZTcwNjI4MTczMw@@._V1_SX300.jpg,Paramount Pictures,PG,17 Dec 2004,True,108 min,A Series of Unfortunate Events,movie,http://www.unfortunateeventsmovie.com/,"Robert Gordon (screenplay), Daniel Handler (books)",2004,tt0339291,6.8,"166,616",fresh,160
2,"Tim Ivey, Gena Rowlands, Starletta DuPois, James Garner",12 wins & 10 nominations.,"$81,000,000.00",USA,08 Feb 2005,Nick Cassavetes,"Drama, Romance",English,53,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_SX300.jpg,New Line Cinema,PG-13,25 Jun 2004,True,123 min,The Notebook,movie,http://www.thenotebookmovie.com/,"Jeremy Leven (screenplay), Jan Sardi (adaptation), Nicholas Sparks (novel)",2004,tt0332280,7.9,"412,669",rotten,155
3,"Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood",Won 1 Oscar. Another 64 wins & 103 nominations.,"$34,126,138.00",USA,28 Sep 2004,Michel Gondry,"Drama, Romance, Sci-Fi",English,89,"When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg,Focus Features,R,19 Mar 2004,True,108 min,Eternal Sunshine of the Spotless Mind,movie,http://www.eternalsunshine.com/,"Charlie Kaufman (story), Michel Gondry (story), Pierre Bismuth (story), Charlie Kaufman (screenplay)",2004,tt0338013,8.3,"699,264",certified,234
4,"Karina Arroyave, Dato Bakhtadze, Sandra Bullock, Don Cheadle",Won 3 Oscars. Another 61 wins & 105 nominations.,"$55,382,847.00","Germany, USA",06 Sep 2005,Paul Haggis,"Crime, Drama, Thriller","English, Persian, Spanish, Mandarin, Korean",69,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTk1OTA1MjIyNV5BMl5BanBnXkFtZTcwODQxMTkyMQ@@._V1_SX300.jpg,Lions Gate Films,R,06 May 2005,True,112 min,Crash,movie,http://www.crashfilm.com/,"Paul Haggis (story), Paul Haggis (screenplay), Robert Moresco (screenplay)",2004,tt0375679,7.8,"370,169",certified,227
5,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",7 wins & 24 nominations.,"$85,974,306.00","USA, Canada",21 Sep 2004,Mark Waters,Comedy,"English, German, Vietnamese, Swahili",66,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,30 Apr 2004,True,97 min,Mean Girls,movie,http://www.meangirlsmovie.com/indexflash.html,"Rosalind Wiseman (book), Tina Fey (screenplay)",2004,tt0377092,7.0,"256,291",certified,176
6,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee",Won 2 Oscars. Another 60 wins & 53 nominations.,N/A,USA,29 Mar 2005,Brad Bird,"Animation, Action, Adventure","English, French",90,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,N/A,PG,05 Nov 2004,True,115 min,The Incredibles,movie,N/A,Brad Bird,2004,tt0317705,8.0,"499,804",N/A,N/A
7,"Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw",Nominated for 2 Oscars. Another 14 wins & 42 nominations.,"$249,358,727.00","UK, USA",22 Nov 2004,Alfonso Cuarón,"Adventure, Family, Fantasy",English,82,"It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,04 Jun 2004,True,142 min,Harry Potter and the Prisoner of Azkaban,movie,http://azkaban.warnerbros.com/,"J.K. Rowling (novel), Steve Kloves (screenplay)",2004,tt0304141,7.8,"404,912",certified,250
8,"Emile Hirsch, Elisha Cuthbert, Timothy Olyphant, James Remar",2 wins & 4 nominations.,"$14,544,008.00",USA,24 Aug 2004,Luke Greenfield,"Comedy, Drama, Romance",English,47,A teenager's dreams come true when a former porn star moves in next door and they fall in love.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0ODIyMzE1N15BMl5BanBnXkFtZTcwODEwODczMw@@._V1_SX300.jpg,20th Century Fox,R,09 Apr 2004,True,108 min,The Girl Next Door,movie,http://www.thegirlnextdoormovie.com,"David Wagner (story), Brent Goldberg (story), Stuart Blumberg (screenplay), David Wagner (screenplay), Brent Goldberg (screenplay)",2004,tt0265208,6.8,"175,262",rotten,157
9,"Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt",Nominated for 1 Oscar. Another 4 wins & 21 nominations.,"$114,170,863.00",USA,11 Jan 2005,M. Night Shyamalan,"Drama, Mystery, Thriller",English,44,A series of events tests the beliefs of a small isolated countryside village.,https://images-na.ssl-images-amazon.com/images/M/MV5BMWExMWYxN2MtYmU1YS00Mjk5LWI3OTEtYTg3NDIwZTA2MTE2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Buena Vista,PG-13,30 Jul 2004,True,108 min,The Village,movie,http://thevillage.movies.go.com/main.html,M. Night Shyamalan,2004,tt0368447,6.5,"200,707",rotten,207
