,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
0,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba",Nominated for 1 Oscar. Another 6 wins & 44 nominations.,"$126,464,904.00","USA, UK",09 Oct 2012,Ridley Scott,"Adventure, Mystery, Sci-Fi","English, Scottish Gaelic",65,"Following clues to the origin of mankind, a team find a structure on a distant moon, but they soon find they are not alone.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg,20th Century Fox,R,08 Jun 2012,True,124 min,Prometheus,movie,http://www.prometheus-movie.com/,"Jon Spaihts, Damon Lindelof, Dan O'Bannon (elements), Ronald Shusett (elements)",2012,tt1446714,7.0,"471,419",certified,278,
1,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",Won 2 Oscars. Another 54 wins & 144 nominations.,"$162,804,648.00",USA,16 Apr 2013,Quentin Tarantino,"Drama, Western","English, German, French, Italian",81,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,The Weinstein Co.,R,25 Dec 2012,True,165 min,Django Unchained,movie,http://unchainedmovie.com/,Quentin Tarantino,2012,tt1853728,8.4,"1,014,509",certified,254,
2,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",Nominated for 1 BAFTA Film Award. Another 38 wins & 97 nominations.,"$448,130,642.00","USA, UK",03 Dec 2012,Christopher Nolan,"Action, Thriller","English, Arabic",78,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,20 Jul 2012,True,164 min,The Dark Knight Rises,movie,http://www.thedarkknightrises.com/,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2012,tt1345836,8.5,"1,201,640",certified,334,
3,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Nominated for 1 Oscar. Another 34 wins & 76 nominations.,"$623,279,547.00",USA,25 Sep 2012,Joss Whedon,"Action, Sci-Fi","English, Russian",69,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,04 May 2012,True,143 min,The Avengers,movie,http://marvel.com/avengers_movie,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)",2012,tt0848228,8.1,"1,032,104",certified,320,
4,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Nominated for 3 Oscars. Another 10 wins & 70 nominations.,"$303,001,229.00","USA, New Zealand",19 Mar 2013,Peter Jackson,"Adventure, Fantasy",English,58,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,Warner Bros.,PG-13,14 Dec 2012,True,169 min,The Hobbit: An Unexpected Journey,movie,http://www.thehobbit.com/index.html,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2012,tt0903624,7.9,"660,431",fresh,277,
5,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",Nominated for 1 Golden Globe. Another 33 wins & 42 nominations.,"$407,981,652.00",USA,18 Aug 2012,Gary Ross,"Action, Adventure, Sci-Fi",English,68,"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,Lionsgate,PG-13,23 Mar 2012,True,142 min,The Hunger Games,movie,http://thehungergamesmovie.com,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)",2012,tt1392170,7.2,"725,672",certified,282,
6,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",21 wins & 11 nominations.,"$292,298,923.00",USA,02 Mar 2013,Bill Condon,"Adventure, Drama, Fantasy",English,52,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,Lionsgate/Summit Entertainment,PG-13,16 Nov 2012,True,115 min,The Twilight Saga: Breaking Dawn - Part 2,movie,http://www.breakingdawn-themovie.com/,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2012,tt1673434,5.5,"191,175",rotten,181,
7,"Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin",Nominated for 1 Oscar. Another 27 wins & 65 nominations.,"$18,996,755.00","Spain, USA",23 Apr 2013,J.A. Bayona,"Drama, Thriller","English, Thai, Swedish",73,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NTA3NzQ5Nl5BMl5BanBnXkFtZTcwOTYxNjY0OA@@._V1_SX300.jpg,Lionsgate Films,PG-13,04 Jan 2013,True,114 min,The Impossible,movie,http://theimpossible-movie.com/,"Sergio G. Sánchez, María Belón (story)",2012,tt1649419,7.6,"152,460",certified,186,
8,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried",Won 3 Oscars. Another 81 wins & 170 nominations.,"$148,775,460.00","USA, UK",22 Mar 2013,Tom Hooper,"Drama, Musical, Romance",English,63,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_SX300.jpg,Universal Pictures,PG-13,25 Dec 2012,True,158 min,Les Misérables,movie,http://www.lesmiserablesfilm.com/,"William Nicholson (screenplay), Alain Boublil (screenplay), Claude-Michel Schönberg (screenplay), Herbert Kretzmer (screenplay), Alain Boublil (stage musical ""Les Misérables""), Claude-Michel Schönberg (stage musical ""Les Misérables""), Victor Hugo (novel)",2012,tt1707386,7.6,"252,152",fresh,230,
9,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",Nominated for 2 Oscars. Another 13 wins & 31 nominations.,"$155,081,785.00",USA,11 Sep 2012,Rupert Sanders,"Action, Adventure, Drama",English,57,"In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDA0MTk5OV5BMl5BanBnXkFtZTcwMTM4NDMwNw@@._V1_SX300.jpg,Universal Pictures,PG-13,01 Jun 2012,True,127 min,Snow White and the Huntsman,movie,http://www.snowwhiteandthehuntsman.com,"Evan Daugherty (screenplay), John Lee Hancock (screenplay), Hossein Amini (screenplay), Evan Daugherty (screen story)",2012,tt1735898,6.1,"236,842",rotten,218,
